Upc,Department,qty,amount($),Name
6.13E+11,Drinks,1,1,Arizona Arnold Palmer Half&Half Sweet Tea Pink Lemonade
6.13E+11,Drinks,1,1,Arizona Ice Tea Tall Boys Rx Energy
6.13E+11,Drinks,1,1,Arizona: Kiwi Strawberry
6.13E+11,Drinks,1,1,Arizona: Raspberry Iced Tea
6.16E+11,General Food,1,6.99,Gari T
6.16E+11,General Food,1,5,Massep tea L
6.16E+11,General Food,1,6,Aloevera lemongrass gingertea
6.17E+11,General Food,1,11.99,Gari
6.17E+11,General Food,1,30,Fish
6.17E+11,General Food,1,0,Dried fish
6.28E+11,General Food,1,15,Merex Bone-in Stockfish Bits
6.31E+11,Snacks,1,0.5,Teddy Grahams Graham Snacks Honey
6.33E+11,Drinks,1,0.75,Fiji Natural Artesian Water
6.33E+11,General Food,1,10,Safou
6.33E+11,General Food,1,5,bobolo
6.33E+11,General Food,1,10,Safou
6.35E+11,Condiments,1,1,Chap Lip Citrus
6.38E+11,General Food,1,8,Peanut butter
6.39E+11,General Food,1,40,smkkedfish
6.39E+11,General Food,1,30,Fish
6.39E+11,General Food,1,3.99,Pepper
6.39E+11,General Food,1,3.99,Cumin
6.39E+11,General Food,1,3.99,Cinnamo
6.39E+11,General Food,1,3.99,Pepoe red
6.39E+11,General Food,1,5,Curry
6.39E+11,Snacks,1,3.99,Ginger power
6.39E+11,General Food,1,3.99,Onion power
6.39E+11,General Food,1,3.99,Sage leaves
6.39E+11,General Food,1,3.99,Chili
6.39E+11,Calling Card,1,5,Twin double razor
6.46E+11,General Food,1,5,Honey Ginger Tea
6.47E+11,General Food,1,7,Chana Fresh Palmnut Cream Concentrate
6.48E+11,Misc.,1,0.01,test
6.50E+11,General Food,1,5.99,Tea
6.51E+11,General Food,1,80,Olaola
6.51E+11,General Food,1,18,OLA-OLA Pounded Yam
6.51E+11,General Food,1,24.9,OLA-OLA Authentic Pounded Yam
6.51E+11,General Food,1,24.99,OlA-ola
6.59E+11,General Food,1,5,Fimbui
6.59E+11,General Food,1,8,BobolO
6.59E+11,General Food,1,5,Chikwangue
6.59E+11,General Food,1,6.5,victoire matembele
6.59E+11,General Food,1,6.99,Mama nyota
6.59E+11,Frozen,1,7.5,Cassava leaves
6.59E+11,General Food,1,7,Safou
6.59E+11,Frozen,1,7,bitekuteku
6.59E+11,General Food,1,10.99,Mama nyota
6.59E+11,General Food,1,6.99,Ma anyota
6.79E+11,Calling Card,1,0,$2 Boss Revolution Phone Card
6.79E+11,Calling Card,1,5,$5 Boss Revolution Phone Card
6.81E+11,Cleaning&body,1,3.5,Kills flu cleaning
7.02E+11,Clothes,1,3,face mask
7.04E+11,Drinks,1,3.99,Maqureau
7.04E+11,General Food,1,3.99,wagobia
7.04E+11,General Food,1,5.99,Maquereau
7.04E+11,General Food,1,3.99,sardine
7.04E+11,General Food,1,4.99,Sardines
7.05E+11,General Food,1,40,Victoria dried fish
7.06E+11,Frozen,1,6.99,Whole gloves
7.06E+11,General Food,1,5.99,black pepper
7.12E+11,General Food,1,9.9,Nirwana
7.14E+11,Cleaning&body,1,5,Ketazol
7.17E+11,Cleaning&body,1,2,Metal
7.18E+11,General Food,1,5,Grandios pap
7.19E+11,General Food,1,3,Spaghetti
7.21E+11,General Food,1,2,Fresh garlic
7.45E+11,General Food,1,25,Royal Basmati Rice
7.46E+11,General Food,1,2,Ginger tea
7.46E+11,General Food,1,12.99,NINA PALM OIL 2LT
7.46E+11,General Food,1,6.15,Nina Gari
7.52E+11,General Food,1,1.5,Golden Chef Canola Oil
7.52E+11,General Food,1,8,Pondu kitoko
7.53E+11,General Food,1,25,Tilapia
7.53E+11,Meat/Fish,1,35,tilpia
7.53E+11,General Food,1,25,tilapia
7.53E+11,General Food,1,0,Tilalia
7.58E+11,Snacks,1,1,Takis Fuego Hot Chili Pepper & Lime
7.58E+11,Snacks,1,1,Takix
7.59E+11,General Food,1,1.5,Uncle Wally's Muffin Chocolate Chips
7.59E+11,Snacks,1,1,Uncle Wally's Bake Shoppe:Blueberry
7.61E+11,General Food,1,8,James Leaf Spinach
7.61E+11,Frozen,1,0,Precut Okra
7.61E+11,General Food,1,8.99,Chooped spinanch
7.61E+11,General Food,1,8,James Farm Chopped Spinach 2lbs
7.61E+11,General Food,1,7,James Farm Collard Greens 2lbs
7.61E+11,General Food,1,10,Whole nutmeg
7.62E+11,General Food,1,5,Mazola: 100% Pure Corn Oil
