Date,Department,# of Baskets,# of Items,Avg Items,Sales $,Avg Sale,Scan Rate,Scan Sales
4/1/21,General Food,2,15,7.5,$279.59 ,$139.79 ,100,$279.59 
4/1/21,Meat/Fish,1,2,2,$30.00 ,$30.00 ,100,$30.00 
4/2/21,Drinks,1,11,11,$54.25 ,$54.25 ,100,$54.25 
4/2/21,General Food,4,52,13,$594.11 ,$148.52 ,100,$594.11 
4/2/21,Meat/Fish,2,2,1,$40.00 ,$20.00 ,100,$40.00 
4/2/21,Snacks,2,26,13,$9.75 ,$4.87 ,100,$9.75 
4/3/21,General Food,6,36,6,$305.99 ,$50.99 ,100,$305.99 
4/3/21,Meat/Fish,2,3,1.5,$30.00 ,$15.00 ,100,$30.00 
4/4/21,Drinks,2,2,1,$34.50 ,$17.25 ,100,$34.50 
4/4/21,General Food,14,84,6,$810.78 ,$57.91 ,100,$810.78 
4/4/21,Meat/Fish,2,4,2,$64.00 ,$32.00 ,100,$64.00 
4/4/21,Snacks,3,26,8.7,$20.00 ,$6.66 ,100,$20.00 
4/5/21,General Food,4,7,1.8,$225.99 ,$56.49 ,100,$225.99 
4/5/21,Snacks,1,1,1,$1.00 ,$1.00 ,100,$1.00 
4/6/21,General Food,5,35,7,$540.48 ,$108.09 ,100,$540.48 
4/6/21,Meat/Fish,1,4,4,$60.00 ,$60.00 ,100,$60.00 
4/7/21,Drinks,1,4,4,$4.00 ,$4.00 ,100,$4.00 
4/7/21,General Food,5,14,2.8,$97.50 ,$19.50 ,100,$97.50 
4/7/21,Meat/Fish,2,2,1,$30.00 ,$15.00 ,100,$30.00 
4/8/21,Drinks,2,3,1.5,$4.00 ,$2.00 ,100,$4.00 
4/8/21,General Food,5,28,5.6,$335.58 ,$67.11 ,100,$335.58 
4/8/21,Meat/Fish,1,15,15,$150.00 ,$150.00 ,100,$150.00 
4/8/21,Snacks,1,8,8,$4.00 ,$4.00 ,100,$4.00 
4/9/21,General Food,8,38,4.8,$626.22 ,$78.27 ,100,$626.22 
4/9/21,Meat/Fish,3,5,1.7,$90.00 ,$30.00 ,100,$90.00 
4/10/21,Drinks,1,66,66,$99.00 ,$99.00 ,100,$99.00 
4/10/21,General Food,11,59,5.4,$388.47 ,$35.31 ,100,$388.47 
4/10/21,Meat/Fish,3,4,1.3,$70.00 ,$23.33 ,100,$70.00 
4/11/21,Calling Card,2,10,5,$20.00 ,$10.00 ,100,$20.00 
4/11/21,General Food,8,38,4.8,$474.23 ,$59.27 ,100,$474.23 
4/11/21,Meat/Fish,2,4,2,$70.00 ,$35.00 ,100,$70.00 
4/11/21,Snacks,1,1,1,$0.25 ,$0.25 ,100,$0.25 
4/12/21,Drinks,3,9,3,$10.00 ,$3.33 ,100,$10.00 
4/12/21,General Food,3,30,10,$209.59 ,$69.86 ,100,$209.59 
4/12/21,Meat/Fish,2,4,2,$70.00 ,$35.00 ,100,$70.00 
4/13/21,Drinks,1,6,6,$12.00 ,$12.00 ,100,$12.00 
4/13/21,General Food,7,123,17.6,"$1,173.14 ",$167.59 ,100,"$1,173.14 "
4/13/21,Meat/Fish,2,6,3,$70.00 ,$35.00 ,100,$70.00 
4/13/21,Snacks,2,5,2.5,$4.00 ,$2.00 ,100,$4.00 
4/14/21,Drinks,1,1,1,$33.00 ,$33.00 ,100,$33.00 
4/14/21,General Food,4,61,15.3,$500.90 ,$125.22 ,100,$500.90 
4/14/21,Meat/Fish,1,1,1,$20.00 ,$20.00 ,100,$20.00 
4/15/21,Cleaning&body,1,3,3,$23.00 ,$23.00 ,100,$23.00 
